outcome	result_reldir	n_seeds	nested_n	estimate	ci_lower	ci_upper	ci_half_width	nested_estimate	nested_change	relative_precision_defined	relative_ci_half_width	relative_nested_change
agent_holdout_r2	oat/rho=0.0	20	10	-1.4259141554411972	-1.5980510107856256	-1.2537773000967687	0.17213685534442846	-1.3783771623779164	0.04753699306328074	true	0.12072034959998486	0.03333790669086398
agent_holdout_r2	oat/rho=0.15	20	10	-1.336259763561645	-1.4815358186850192	-1.190983708438271	0.14527605512337405	-1.3654637278888675	0.029203964327222387	true	0.10871842368145368	0.02185500538411979
agent_holdout_r2	oat/rho=0.3	20	10	-1.2845483526463064	-1.413465335621943	-1.1556313696706697	0.1289169829756367	-1.3237027230393523	0.03915437039304592	true	0.10035977447641732	0.030481040524775693
agent_holdout_r2	oat/rho=0.5	50	20	-1.1384583829004724	-1.2319779066983636	-1.0449388591025812	0.09351952379789119	-1.1669880117588642	0.02852962885839183	true	0.08214575534999329	0.025059878592756588
agent_holdout_r2	oat/rho=0.7	20	10	-0.9509131812262925	-1.1266105277956313	-0.7752158346569537	0.17569734656933883	-0.8086892478684508	0.14222393335784178	true	0.18476696930708278	0.14956563455607016
agent_holdout_r2	oat/rho=0.85	20	10	-0.7639662217024663	-0.9317972878136795	-0.5961351555912531	0.16783106611121323	-0.6711094779144238	0.09285674378804254	true	0.21968388306122857	0.12154561438739428
agent_holdout_r2	oat/rho=1.0	20	10	-0.785042150755355	-0.9580078863993682	-0.6120764151113418	0.17296573564401319	-0.6480108311761974	0.1370313195791576	true	0.22032668625192714	0.17455281789303703
agent_holdout_r2	oat/roster_frac=0.1	20	10	-1.1618122288320802	-1.2973471761649347	-1.0262772814992258	0.13553494733285443	-1.0886868203186029	0.07312540851347737	true	0.11665822063957948	0.06294081496025153
agent_holdout_r2	oat/roster_frac=0.4	20	10	-1.2275549952973226	-1.343148557381073	-1.111961433213572	0.11559356208375049	-1.2099007876839583	0.017654207613364337	true	0.09416568913537997	0.014381602193788768
agent_holdout_r2	phase/eta_r/cells/0_0	20	10	-2.1746597026737793	-2.4238240801362387	-1.92549532521132	0.24916437746245934	-2.0711770804413665	0.10348262223241278	true	0.11457626090008828	0.047585662301636994
agent_holdout_r2	phase/eta_r/cells/0_2	20	10	-2.4266579639166457	-2.7172308796428672	-2.136085048190424	0.29057291572622157	-2.437059293079421	0.010401329162775141	true	0.11974201558147672	0.004286277389495515
agent_holdout_r2	phase/eta_r/cells/0_3	20	10	-1.9418861335582758	-2.151233125184755	-1.7325391419317968	0.20934699162647907	-1.7510602061513718	0.19082592740690396	true	0.1078060077821739	0.09826834030543187
agent_holdout_r2	phase/eta_r/cells/1_0	20	10	-2.1498498149147585	-2.4275511048679137	-1.8721485249616032	0.27770128995315524	-2.1552272437412716	0.005377428826513153	true	0.1291724138247146	0.0025013044116881105
agent_holdout_r2	phase/eta_r/cells/1_2	20	10	-2.382304033180441	-2.6413915144676885	-2.1232165518931936	0.25908748128724746	-2.33762268851777	0.04468134466267104	true	0.10875500258519001	0.018755517364851298
agent_holdout_r2	phase/eta_r/cells/1_3	20	10	-2.1034843182618497	-2.3886314454791244	-1.818337191044575	0.28514712721727475	-1.9154152918909424	0.18806902637090728	true	0.13555942620618033	0.08940833299214343
agent_holdout_r2	phase/eta_r/cells/2_0	20	10	-1.282426230487769	-1.4261527448961595	-1.1386997160793784	0.14372651440839057	-1.1406810724862306	0.1417451580015383	true	0.11207390412914776	0.11052889798396102
agent_holdout_r2	phase/eta_r/cells/2_2	20	10	-1.330563128781137	-1.5248818040616754	-1.1362444535005987	0.19431867528053837	-1.2479470525804737	0.08261607620066336	true	0.14604243201789613	0.06209106085507108
agent_holdout_r2	phase/eta_r/cells/2_3	20	10	-1.372795333126144	-1.5462146112995665	-1.1993760549527215	0.1734192781734225	-1.2407252683067005	0.1320700648194435	true	0.1263256612174739	0.09620521109923368
agent_holdout_r2	phase/eta_r/cells/4_0	20	10	-1.1152231049648778	-1.2501050185534248	-0.9803411913763306	0.13488191358854712	-1.0839201669206522	0.03130293804422557	true	0.12094612547755189	0.028068767500303366
agent_holdout_r2	phase/eta_r/cells/4_2	20	10	-1.108084156178054	-1.2163177649862507	-0.9998505473698572	0.10823360880819671	-1.0316677146323292	0.07641644154572469	true	0.09767634362854752	0.06896266959478628
agent_holdout_r2	phase/eta_r/cells/4_3	20	10	-1.0463306015787732	-1.1715809143884583	-0.9210802887690881	0.12525031280968513	-0.9531629151217464	0.09316768645702678	true	0.11970433878231136	0.0890423029933839
agent_holdout_r2	phase/rho_delta/cells/0_0	20	10	-0.6356749043056297	-0.760850438470635	-0.5104993701406243	0.12517553416500538	-0.5600871671539501	0.07558773715167955	true	0.19691753334471976	0.1189094246755686
agent_holdout_r2	phase/rho_delta/cells/0_1	20	10	-0.81422776414781	-0.9304743629469554	-0.6979811653486645	0.11624659879914545	-0.7894950557876148	0.024732708360195144	true	0.14276914140948252	0.03037566323482101
agent_holdout_r2	phase/rho_delta/cells/0_3	20	10	-1.9514211184883377	-2.2091992109638623	-1.693643026012813	0.25777809247552463	-1.9031879803761877	0.04823313811214991	true	0.13209762364118086	0.02471692944960725
agent_holdout_r2	phase/rho_delta/cells/0_4	20	10	-2.602277253664809	-2.9508270820562235	-2.2537274252733948	0.34854982839141435	-2.546104768026545	0.056172485638263936	true	0.1339403124323316	0.021585895799210383
agent_holdout_r2	phase/rho_delta/cells/1_0	20	10	-0.6174581253990347	-0.7275365806481779	-0.5073796701498914	0.11007845524914328	-0.5017285255872754	0.11572959981175923	true	0.17827679436237828	0.18742906612001994
agent_holdout_r2	phase/rho_delta/cells/1_1	20	10	-0.7924583333571013	-0.911624480999651	-0.6732921857145515	0.11916614764254974	-0.7934284220594359	0.000970088702334615	true	0.15037528489065752	0.0012241510518603746
agent_holdout_r2	phase/rho_delta/cells/1_3	20	10	-1.9064137299213797	-2.1037348264156157	-1.709092633427144	0.1973210964942359	-1.95140887735405	0.04499514743267041	true	0.1035038163003439	0.023601984567392938
agent_holdout_r2	phase/rho_delta/cells/1_4	20	10	-2.1971701174927345	-2.396054716092873	-1.9982855188925963	0.1988845986001383	-2.165955123150554	0.031214994342180447	true	0.0905185251777829	0.014206908283369946
agent_holdout_r2	phase/rho_delta/cells/2_0	20	10	-0.6562886584555621	-0.7652949890698612	-0.547282327841263	0.1090063306142991	-0.5907517123261552	0.06553694612940686	true	0.1660951003950345	0.09985994011177085
agent_holdout_r2	phase/rho_delta/cells/2_1	20	10	-0.8498586277657882	-0.9674815597765822	-0.7322356957549943	0.11762293201079399	-0.7911876362017781	0.05867099156401012	true	0.13840293922768715	0.06903617807381866
agent_holdout_r2	phase/rho_delta/cells/2_3	20	10	-1.6516170800423702	-1.8257517959122576	-1.4774823641724828	0.17413471586988738	-1.6546915738923331	0.003074493849962945	true	0.10543286211681716	0.0018615052405997596
