seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
21	0.7149820825515947	0.533405534709193	-0.18157654784240163	0.934252626641651	0.8587206378986867	-0.0755319887429643	0.21927054409005628	0.3253151031894935	0.10604455909943725	-0.49851108056457133	-1.773005007885276	-1.2744939273207045	0.8484320616691934	0.6167263883033464	-0.23170567336584702	1.3469431422337645	2.3897313961886226	1.042788253954858	2.2083588766605997	2.0023957458675783	-0.20596313079302142	0.9362593334898103	0.9199254496945771	-0.01633388379523315	0.14497509986547064	0.10994904026349836	-0.035026059601972276	0.7442104696674442	0.7645378187760742	0.02032734910862999	21.1491	18.54325	-2.60585
22	0.6628400562851783	0.4545242026266417	-0.20831585365853655	0.9415536585365853	0.840850938086304	-0.10070272045028139	0.27871360225140707	0.3863267354596623	0.10761313320825522	-1.0041847687570642	-2.914982858389211	-1.9107980896321468	0.8360063583733123	0.47237052886558095	-0.3636358295077313	1.8401911271303764	3.3873533872547923	1.547162260124416	1.7639843275847937	1.7570536250279218	-0.006930702556871893	0.9662297826595452	0.960617954395478	-0.005611828264067142	0.10013018812662874	0.10493005815191996	0.004799870025291211	0.8209269640216919	0.7723203132861306	-0.04860665073556125	16.95515	18.794050000000002	1.8389000000000024
23	0.594927861163227	0.46446228893058156	-0.1304655722326455	0.905925984990619	0.8529038461538461	-0.05302213883677298	0.3109981238273922	0.38844155722326446	0.07744343339587223	-1.168595477892143	-2.7192095017668656	-1.5506140238747226	0.655062361081058	0.6223815080268995	-0.032680853054158465	1.823657838973201	3.3415910097937647	1.5179331708205637	1.3650726132531612	1.3545391364915111	-0.010533476761650062	0.9258890407766398	0.9506136067724347	0.024724565995794867	0.13441258420770247	0.11516477880966176	-0.019247805398040704	0.7391230742569866	0.7868099349890667	0.04768686073208006	19.377	18.296150000000004	-1.0808499999999945
24	0.6022967166979363	0.4882227954971857	-0.11407392120075055	0.9659322701688557	0.8205511257035647	-0.14538114446529105	0.36363555347091936	0.3323283302063789	-0.03130722326454044	-1.157285118482862	-2.3834164728267333	-1.2261313543438712	0.9117114351222808	0.5353098315827214	-0.3764016035395594	2.0689965536051425	2.9187263044094545	0.849729750804312	2.0849310107391092	1.7773137668830128	-0.30761724385609646	0.9866037950957554	0.922379889158514	-0.06422390593724137	0.10723643079790472	0.12712775837558143	0.019891327577676712	0.772342762595389	0.6703061877234029	-0.10203657487198614	15.849050000000002	18.251199999999997	2.4021499999999953
25	0.5847725140712946	0.44397861163227015	-0.14079390243902445	0.9430912757973735	0.875413320825516	-0.06767795497185747	0.35831876172607874	0.4314347091932458	0.07311594746716704	-1.8550379116690003	-3.872020167022773	-2.0169822553537724	0.7912007436590789	0.28528376300817954	-0.5059169806508994	2.646238655328079	4.157303930030952	1.5110652747028737	1.4646462956147634	1.0784955764777646	-0.38615071913699883	0.989451373813039	0.9678425299159249	-0.02160884389711415	0.11194124506212211	0.1171335645129024	0.005192319450780289	0.7846038477701853	0.73494188493461	-0.049661962835575335	18.28785	18.327	0.039150000000002905
26	0.5716565666041277	0.48967045028142586	-0.08198611632270181	0.9496860225140713	0.8586860225140713	-0.09099999999999997	0.37802945590994363	0.3690155722326454	-0.009013883677298218	-1.4162103480050863	-2.569364295208318	-1.1531539472032317	0.8833560095052009	0.5926301123132832	-0.29072589719191766	2.299566357510287	3.1619944075216013	0.8624280500113142	1.3655083758315005	1.1008921877275655	-0.26461618810393506	0.9918752291383491	0.9612590364844449	-0.03061619265390425	0.11128172394462463	0.117178200484752	0.005896476540127371	0.7768559632870805	0.6790829334436899	-0.09777302984339065	16.714450000000003	18.710050000000003	1.9955999999999996
27	0.5959266416510319	0.37412514071294567	-0.22180150093808626	0.9319123827392118	0.8578210131332084	-0.07409136960600349	0.3359857410881802	0.4836958724202627	0.1477101313320825	-1.5214632177982306	-3.387475503036785	-1.8660122852385543	0.7932831023495267	0.6583887378059856	-0.1348943645435411	2.314746320147757	4.0458642408427705	1.7311179206950134	1.3994397198997224	1.2916553875045984	-0.10778433239512397	0.9946229845168497	0.9767836159883705	-0.017839368528479227	0.09291386530175612	0.11127057047569225	0.01835670517393613	0.834866848347976	0.7771223630160983	-0.057744485331877704	16.6128	17.880249999999997	1.2674499999999966
28	0.6348280487804878	0.5066526266416511	-0.1281754221388367	0.966790712945591	0.8327560037523453	-0.13403470919324578	0.3319626641651032	0.32610337711069415	-0.005859287054409079	-1.068539066568142	-2.0120849547654696	-0.9435458881973275	0.9235481884605596	0.46049100442268454	-0.4630571840378751	1.9920872550287014	2.472575959188154	0.4804887041594528	1.4404904826040177	1.6399582923371199	0.19946780973310219	0.954805079416551	0.9035918350958239	-0.05121324432072716	0.12302065007436017	0.10095441617718437	-0.022066233897175797	0.7638774691786512	0.7283269617666019	-0.03555050741204924	17.7924	18.26835	0.475950000000001
29	0.654604033771107	0.5100438086303941	-0.14456022514071287	0.9634171669793622	0.7959556285178236	-0.16746153846153855	0.308813133208255	0.28591181988742964	-0.022901313320825345	-0.8064713037962082	-2.0222337092334315	-1.2157624054372231	0.9171592318249674	0.5250583940941532	-0.39210083773081417	1.7236305356211759	2.5472921033275844	0.8236615677064085	1.7162004417866505	1.3991374617055103	-0.3170629800811402	0.9489228349337842	0.8971151170911222	-0.051807717842661916	0.11282966126313418	0.13918657266918685	0.026356911406052674	0.737881402624657	0.6650895830608526	-0.07279181956380432	17.869750000000003	18.71125	0.8414999999999964
30	0.6634040337711069	0.47670234521575994	-0.18670168855534697	0.9606437148217637	0.8393351782363976	-0.12130853658536611	0.2972396810506567	0.36263283302063776	0.06539315196998108	-1.0894990290714257	-2.261134589034522	-1.171635559963096	0.9077838168718866	0.5058908967370147	-0.4018929201348719	1.9972828459433125	2.7670254857715366	0.7697426398282241	2.227724455351437	2.1937636632365503	-0.03396079211488656	0.9797314680662209	0.9362247212011828	-0.04350674686503808	0.1063187145226377	0.10814279193320983	0.0018240774105721252	0.7800892147595327	0.7081758089322201	-0.07191340582731265	16.672150000000002	17.4574	0.7852499999999978
