seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
31	0.5111235459662289	0.43246491557223266	-0.07865863039399623	0.7792746716697937	0.8516727016885554	0.07239803001876166	0.26815112570356475	0.4192077861163228	0.15105666041275806	-2.908252394307423	-2.7739688385012813	0.13428355580614193	-0.6098783699185419	0.5873237172565702	1.1972020871751121	2.2983740243888815	3.3612925557578515	1.06291853136897	0.5451750368994998	0.4823868733057803	-0.06278816359371947	0.9908574754431001	0.9766611309960942	-0.014196344447005904	0.10287873704157768	0.10396139205819221	0.001082655016614531	0.842259325073574	0.8291203311487598	-0.013138993924814213	17.380000000000003	17.9359	0.5558999999999976
32	0.5015722326454034	0.4612780487804877	-0.04029418386491568	0.6279333020637898	0.8516073170731706	0.22367401500938078	0.12636106941838646	0.39032926829268283	0.26396819887429634	-2.909169850287287	-2.758658768575592	0.15051108171169503	-1.7254019709450379	0.5060704550968345	2.231472426041872	1.1837678793422495	3.2647292236724264	2.080961344330177	0.7685392103010568	0.4138077712558054	-0.35473143904525134	0.9982928866535354	0.9834647868376928	-0.014828099815842655	0.09635863219206325	0.1098271579473135	0.013468525755250246	0.8851626845179117	0.81890951584409	-0.0662531686738217	15.476650000000003	18.32585	2.849199999999996
33	0.5377834896810506	0.4873186679174485	-0.05046482176360212	0.8948959662288933	0.7967435272045028	-0.09815243902439053	0.35711247654784256	0.3094248592870543	-0.04768761726078824	-2.696768421801733	-2.0813390864760137	0.6154293353257194	0.21421652565702023	-0.16100816461068068	-0.3752246902677009	2.9109849474587532	1.920330921865333	-0.9906540255934202	0.7106098729009914	0.583563949876658	-0.12704592302433337	0.9807211843049833	0.9266898790940342	-0.05403130521094912	0.10305373050023492	0.1191408122282491	0.01608708172801418	0.8428530085076613	0.7876209262748071	-0.05523208223285425	17.2932	18.2088	0.9156000000000013
34	0.5286188555347092	0.5232799249530957	-0.005338930581613499	0.8576496247654785	0.8337136960600375	-0.023935928705440923	0.3290307692307691	0.3104337711069418	-0.018596998123827313	-2.4596365283968735	-2.433573329892324	0.026063198504549412	0.6535794561416475	0.4766483265978628	-0.17693112954378465	3.113215984538521	2.910221656490187	-0.20299432804833417	0.5154611671849095	0.5203108503085463	0.004849683123636761	0.9118805230055662	0.9426125222669788	0.030731999261412568	0.13372965059235736	0.10946208288488371	-0.024267567707473653	0.7798849394565376	0.8069019105393457	0.027016971082808094	19.7641	17.52835	-2.2357499999999995
35	0.49464043151969983	0.449798592870544	-0.04484183864915581	0.8725045028142588	0.8001143527204503	-0.07239015009380856	0.3778640712945591	0.35031575984990615	-0.027548311444652973	-2.9395241153341725	-3.0007448893680833	-0.061220774033910796	0.7241611190637778	0.32740221788138013	-0.39675890118239765	3.6636852343979505	3.328147107249464	-0.3355381271484865	0.5264959091662715	0.5013246013082414	-0.025171307858030123	0.9348683152314367	0.9481046938354931	0.013236378604056465	0.13930317285350985	0.10998695866178583	-0.02931621419172402	0.729040633300316	0.7899789392239547	0.06093830592363869	20.633200000000002	17.66685	-2.966350000000002
36	0.5035059099437149	0.48001266416510324	-0.02349324577861167	0.856168386491557	0.8079447467166979	-0.048223639774859106	0.35266247654784233	0.3279320825515947	-0.024730393996247657	-2.9861729315275434	-2.8743342086799175	0.11183872284762586	0.6907223506450768	0.4707852683126254	-0.2199370823324514	3.6768952821726204	3.3451194769925428	-0.33177580518007765	0.5308087698613442	0.453105592163332	-0.07770317769801216	0.9609784553651405	0.9606488499862307	-0.000329605378909803	0.12821572772980128	0.11664489790503534	-0.01157082982476594	0.7902204569897753	0.8171372690325172	0.026916812042741878	20.9725	17.92285	-3.0496499999999997
37	0.5026015009380863	0.5019172607879925	-0.0006842401500938289	0.9433819887429642	0.7673678236397748	-0.17601416510318935	0.440780487804878	0.2654505628517824	-0.17532992495309557	-3.899974702924161	-2.0929063159114967	1.8070683870126643	0.808624558707798	0.42520218853662356	-0.3834223701711745	4.708599261631959	2.518108504448121	-2.1904907571838383	0.7054361595484925	0.5981353179680144	-0.10730084158047803	0.9830459594944914	0.9189925612186872	-0.06405339827580414	0.10239473301139008	0.11629733193214797	0.013902598920757889	0.8534725248987154	0.7763394729024068	-0.0771330519963086	16.92955	18.654149999999998	1.7245999999999988
38	0.489221200750469	0.43258170731707324	-0.05663949343339575	0.8523277673545968	0.8223210131332085	-0.03000675422138832	0.36310656660412766	0.3897393058161352	0.02663273921200754	-3.1964171247961106	-2.616275852329937	0.5801412724661734	0.48621245449296147	0.26467034934723815	-0.2215421051457233	3.6826295792890726	2.8809462016771747	-0.8016833776118979	0.5845301338624137	0.5053096483946636	-0.07922048546775007	0.989192272381214	0.956790428881708	-0.03240184349950603	0.10164871563152385	0.11159888628159002	0.009950170650066176	0.8578356541733209	0.8391119988433566	-0.01872365532996423	17.170650000000002	17.187649999999998	0.016999999999995907
39	0.4724374296435272	0.4570904315196997	-0.015346998123827504	0.9163398686679173	0.8074870544090057	-0.10885281425891158	0.4439024390243902	0.35039662288930584	-0.09350581613508435	-3.8286234691824617	-2.3986271276495916	1.42999634153287	0.6557897003064014	0.3806223682410092	-0.2751673320653922	4.484413169488864	2.7792494958906007	-1.7051636735982632	0.6275997264336239	0.48348395963359697	-0.14411576680002697	0.9946063935674856	0.958713435234106	-0.035892958333379577	0.09723058759082928	0.11641731368089639	0.019186726090067108	0.8852628460381007	0.8033760598020783	-0.08188678623602241	15.400400000000001	18.28865	2.8882499999999993
40	0.4406462476547842	0.4630884615384615	0.022442213883677287	0.9005833020637898	0.7914919324577862	-0.10909136960600363	0.4599370544090056	0.32840347091932465	-0.13153358348968097	-3.1207481936036965	-2.3301551530831768	0.7905930405205197	0.8002940373535916	0.5017891578787609	-0.29850487947483073	3.921042230957286	2.8319443109619375	-1.0890979199953486	0.5808886858366443	0.5587638293141405	-0.022124856522503844	0.9718035963345824	0.9390206044377747	-0.03278299189680767	0.1431319476296939	0.11777604585974952	-0.025355901769944372	0.7991679405134142	0.7895528392603572	-0.009615101253056979	20.025	18.67375	-1.3512500000000003
41	0.5334374296435271	0.4083554409005628	-0.12508198874296433	0.9532914634146342	0.8571150093808632	-0.09617645403377106	0.4198540337711069	0.44875956848030024	0.028905534709193326	-2.14617633417881	-2.568020952630418	-0.4218446184516078	0.8791861049277927	0.5187127810272922	-0.36047332390050046	3.025362439106602	3.0867337336577103	0.061371294551108235	0.7675718027610088	0.6433004149144047	-0.12427138784660408	0.9806639062354794	0.9652998288422265	-0.01536407739325285	0.10691291201118544	0.11861155125514242	0.011698639243956976	0.7717306987641418	0.7411502754364312	-0.030580423327710604	18.88625	18.098950000000002	-0.7872999999999983
