contribution	rho	eta	metric	estimate	se	lower	upper	n
access	0.0	0.01	outsourcing_rate	-0.003118425349383408	0.007141088454274355	-0.018064895258837088	0.01182804456007027	20
access	0.0	0.01	q_gap	0.2589710832520707	0.08289737230320182	0.0854648889742281	0.4324772775299133	20
access	0.0	0.01	rank_gap	-0.09834896403054942	0.014389379714651828	-0.12846628190133066	-0.06823164615976816	20
access	0.0	0.01	self_fill_rate	0.0008982177260081603	0.0006325572094155366	-0.0004257397290879524	0.002222175181104273	20
access	0.0	0.01	self_net_output_per_requested_position	-0.06390608519212455	0.08550204380723357	-0.24286391958173748	0.11505174919748835	20
access	0.0	0.03	access_fraction	0.024373617218125303	0.0037390805169147585	0.016547631754853256	0.03219960268139735	20
access	0.0	0.03	agent_holdout_rank	0.03405928203233082	0.0050434229858098934	0.023503276406474934	0.04461528765818671	20
access	0.0	0.03	betweenness	-0.04528114822660284	0.004708044030338058	-0.055135197631313845	-0.035427098821891836	20
access	0.0	0.03	broker_fill_rate	-9.224576790034522e-6	0.00010877383503922213	-0.0002368908300173679	0.00021844167643729885	20
access	0.0	0.03	broker_holdout_rank	-0.1261865647563819	0.015606650774383774	-0.1588516602359172	-0.0935214692768466	20
access	0.0	0.03	broker_net_output_per_requested_position	0.416246380408993	0.01811437344672802	0.37833256105445606	0.4541601997635299	20
access	0.0	0.03	broker_selected_rank	-0.005840136702053777	0.002428850874157985	-0.01092378000623709	-0.0007564933978704644	20
access	0.0	0.03	mean_degree	1.8951749999999996	0.20668665698982966	1.4625748551950468	2.3277751448049524	20
access	0.0	0.03	net_output_per_requested_position	0.40912707207341	0.01861115777353126	0.37017347117302085	0.4480806729737991	20
access	0.0	0.03	outsourcing_rate	-0.002608331005133252	0.002596507893815504	-0.008042884484350159	0.0028262224740836545	20
access	0.0	0.03	q_gap	0.33057990738313153	0.04706549171987735	0.2320707010808731	0.42908911368538993	20
access	0.0	0.03	rank_gap	-0.16024584678871265	0.015944426065491176	-0.19361791407752052	-0.12687377949990478	20
access	0.0	0.03	self_fill_rate	0.002008705468054278	0.0008191084912145369	0.0002942916927721549	0.003723119243336401	20
access	0.0	0.03	self_net_output_per_requested_position	0.12673732527279702	0.04639696974827567	0.02962735153800139	0.22384729900759265	20
access	0.5	0.0	access_fraction	0.006187428454855964	0.0009970098136452214	0.004100662932415369	0.008274193977296559	20
access	0.5	0.0	agent_holdout_rank	-0.0184648592870544	0.0032431627472663503	-0.02525287692944381	-0.011676841644664992	20
access	0.5	0.0	betweenness	-0.15998784352307863	0.0068298155172081655	-0.17428281168776644	-0.14569287535839082	20
access	0.5	0.0	broker_fill_rate	-0.0019893911614180305	0.0005844154190999867	-0.003212586691361416	-0.0007661956314746448	20
access	0.5	0.0	broker_holdout_rank	0.004364849906191353	0.006751550954326756	-0.009766308645777926	0.018496008458160632	20
access	0.5	0.0	broker_net_output_per_requested_position	-0.04227369017857483	0.008674812316097284	-0.06043028102364391	-0.024117099333505754	20
access	0.5	0.0	broker_selected_rank	-0.011070969200607817	0.0023239714516970268	-0.015935097350767893	-0.006206841050447741	20
access	0.5	0.0	mean_degree	28.984227500000003	1.3994917626892973	26.055057576745018	31.913397423254988	20
access	0.5	0.0	net_output_per_requested_position	-0.055264089614483106	0.003550002954236652	-0.06269433119092098	-0.04783384803804523	20
access	0.5	0.0	outsourcing_rate	0.01173789581904226	0.004053604624464219	0.003253603832977887	0.02022218780510663	20
