broker_service	rho	eta	metric	estimate	se	lower	upper	n
access_only	0.5	0.03	q_gap	0.9227572792120624	0.13276010902361976	0.6448871775597566	1.2006273808643684	20
access_only	0.5	0.03	rank_gap	0.27446080206378987	0.0065867871828178175	0.2606744980488838	0.2882471060786959	20
access_only	0.5	0.03	self_fill_rate	0.9933217377823972	0.0005633275469124049	0.9921426796761987	0.9945007958885956	20
access_only	0.5	0.03	self_net_output_per_requested_position	3.506224502677429	0.10309506087576428	3.2904440603737655	3.7220049449810926	20
access_only	1.0	0.0	access_fraction	0.02245895943442227	0.0020813596208901024	0.018102623682025126	0.026815295186819414	20
access_only	1.0	0.0	agent_holdout_rank	0.7644041651031894	0.010030215970529374	0.743410681805961	0.7853976484004178	20
access_only	1.0	0.0	betweenness	0.012777446781669912	0.000474617967825712	0.011784059958356309	0.013770833604983516	20
access_only	1.0	0.0	broker_fill_rate	0.9984720490020174	0.00016699713601135208	0.9981225199793283	0.9988215780247064	20
access_only	1.0	0.0	broker_holdout_rank	0.7742974953095685	0.03338931092991936	0.704412864373129	0.844182126246008	20
access_only	1.0	0.0	broker_net_output_per_requested_position	3.6278899312529704	0.023767239636489194	3.578144526986912	3.677635335519029	20
access_only	1.0	0.0	broker_selected_rank	0.8103327422273612	0.010045328801531679	0.7893076274113148	0.8313578570434076	20
access_only	1.0	0.0	mean_degree	87.1902925	1.8845549079720416	83.24587374576127	91.13471125423872	20
access_only	1.0	0.0	net_output_per_requested_position	4.227533631257551	0.012427766637773353	4.201522016742119	4.253545245772984	20
access_only	1.0	0.0	outsourcing_rate	0.47804640803844345	0.014208950117419074	0.44830673365479756	0.5077860824220893	20
access_only	1.0	0.0	q_gap	-1.1367346055516423	0.03645962750603213	-1.2130454829365345	-1.0604237281667501	20
access_only	1.0	0.0	rank_gap	0.009893330206378954	0.03459974785611968	-0.06252477433294187	0.0823114347456998	20
access_only	1.0	0.0	self_fill_rate	0.9999139726058697	9.418233563777397e-6	0.9998942600164706	0.9999336851952687	20
access_only	1.0	0.0	self_net_output_per_requested_position	4.776612313840191	0.02761214475959386	4.718819430664557	4.834405197015825	20
access_only	1.0	0.01	access_fraction	0.12997234713349695	0.0016947668663769497	0.1264251593155558	0.1335195349514381	20
access_only	1.0	0.01	agent_holdout_rank	0.7815367917448406	0.009718021646934307	0.7611967386765465	0.8018768448131347	20
access_only	1.0	0.01	betweenness	0.2144136048435402	0.011252442312726966	0.19086197241216077	0.2379652372749196	20
access_only	1.0	0.01	broker_fill_rate	0.9924129282067937	0.0008611531786276734	0.9906105138893958	0.9942153425241916	20
access_only	1.0	0.01	broker_holdout_rank	0.9855700046904315	0.001064132704101907	0.9833427493436637	0.9877972600371994	20
access_only	1.0	0.01	broker_net_output_per_requested_position	4.072717026972322	0.03781814122812941	3.9935627476888365	4.151871306255807	20
access_only	1.0	0.01	broker_selected_rank	0.9057322558005161	0.002771973530260229	0.8999304485234983	0.9115340630775338	20
access_only	1.0	0.01	mean_degree	30.81163	0.44442059819203766	29.881446997709535	31.741813002290467	20
access_only	1.0	0.01	net_output_per_requested_position	4.112919414157831	0.011638417220286384	4.088559926960532	4.13727890135513	20
access_only	1.0	0.01	outsourcing_rate	0.6521298146058231	0.031643819916489666	0.5858985383472455	0.7183610908644007	20
access_only	1.0	0.01	q_gap	0.01915439005523713	0.06616762448770049	-0.1193360396205763	0.15764481973105057	20
access_only	1.0	0.01	rank_gap	0.204033212945591	0.0090853681117856	0.18501731894446954	0.22304910694671248	20
access_only	1.0	0.01	self_fill_rate	0.9953068710909749	0.00024082833093059494	0.9948028116013542	0.9958109305805957	20
access_only	1.0	0.01	self_net_output_per_requested_position	4.068932501557915	0.04025844815934235	3.984670601167262	4.153194401948569	20
access_only	1.0	0.03	access_fraction	0.2623255292906101	0.003299006276401386	0.25542062979845803	0.26923042878276215	20
access_only	1.0	0.03	agent_holdout_rank	0.7813432504690432	0.009211568148462402	0.7620632167554899	0.8006232841825964	20
access_only	1.0	0.03	betweenness	0.46071658342485494	0.027002639518647526	0.40419940937980925	0.5172337574699006	20
access_only	1.0	0.03	broker_fill_rate	0.9891797562358118	0.0017225310074409528	0.9855744574027737	0.9927850550688498	20
access_only	1.0	0.03	broker_holdout_rank	0.9910028564727955	0.000594917847250608	0.9897576791081032	0.9922480338374878	20
access_only	1.0	0.03	broker_net_output_per_requested_position	4.007827910719605	0.05378775759906467	3.8952488402320795	4.120406981207131	20
access_only	1.0	0.03	broker_selected_rank	0.8931008450276329	0.0042244688767789015	0.8842589300514354	0.9019427600038303	20
access_only	1.0	0.03	mean_degree	24.1023575	0.48719184127095855	23.082653257108408	25.122061742891592	20
access_only	1.0	0.03	net_output_per_requested_position	4.0273775733521004	0.010130060967039778	4.006175112075463	4.0485800346287375	20
access_only	1.0	0.03	outsourcing_rate	0.8097152278687473	0.048584137049969806	0.7080274603604905	0.9114029953770041	20
access_only	1.0	0.03	q_gap	0.5898770630387654	0.1370363559097289	0.3030566737912445	0.8766974522862863	20
access_only	1.0	0.03	rank_gap	0.20965960600375239	0.008757871432511057	0.19132917043009137	0.2279900415774134	20
access_only	1.0	0.03	self_fill_rate	0.9892353672194847	0.0006978876113728502	0.9877746716616077	0.9906960627773617	20
