broker_service	rho	eta	seed	metric	late_value
access_only	0.0	0.0	17	q_gap	0.16690325546566048
access_only	0.0	0.0	17	rank_gap	0.1335602251407129
access_only	0.0	0.0	17	self_fill_rate	0.9995827814925982
access_only	0.0	0.0	17	self_net_output_per_requested_position	5.210749240013131
access_only	0.0	0.0	18	access_fraction	0.010828882127036065
access_only	0.0	0.0	18	agent_holdout_rank	0.7308835834896812
access_only	0.0	0.0	18	betweenness	0.16949219135924265
access_only	0.0	0.0	18	broker_fill_rate	0.997555277532659
access_only	0.0	0.0	18	broker_holdout_rank	0.8903378048780487
access_only	0.0	0.0	18	broker_net_output_per_requested_position	5.123037697498104
access_only	0.0	0.0	18	broker_selected_rank	0.9521583603443423
access_only	0.0	0.0	18	mean_degree	61.43555
access_only	0.0	0.0	18	net_output_per_requested_position	5.201570217150059
access_only	0.0	0.0	18	outsourcing_rate	0.5225832005487543
access_only	0.0	0.0	18	q_gap	-0.146718739011554
access_only	0.0	0.0	18	rank_gap	0.15945422138836762
access_only	0.0	0.0	18	self_fill_rate	0.9997475545620557
access_only	0.0	0.0	18	self_net_output_per_requested_position	5.287539008363734
access_only	0.0	0.0	19	access_fraction	0.010070213129453357
access_only	0.0	0.0	19	agent_holdout_rank	0.6950993433395872
access_only	0.0	0.0	19	betweenness	0.22436080220425353
access_only	0.0	0.0	19	broker_fill_rate	0.9966508690276781
access_only	0.0	0.0	19	broker_holdout_rank	0.8821344277673546
access_only	0.0	0.0	19	broker_net_output_per_requested_position	5.043969445200674
access_only	0.0	0.0	19	broker_selected_rank	0.9296501906999873
access_only	0.0	0.0	19	mean_degree	57.91014999999999
access_only	0.0	0.0	19	net_output_per_requested_position	5.087276581263765
access_only	0.0	0.0	19	outsourcing_rate	0.6002155160450046
access_only	0.0	0.0	19	q_gap	-0.09141381457913145
access_only	0.0	0.0	19	rank_gap	0.18703508442776745
access_only	0.0	0.0	19	self_fill_rate	0.9995054729257576
access_only	0.0	0.0	19	self_net_output_per_requested_position	5.152292341853468
access_only	0.0	0.0	2	access_fraction	0.01151457356837898
access_only	0.0	0.0	2	agent_holdout_rank	0.7110868667917447
access_only	0.0	0.0	2	betweenness	0.1356480940263683
access_only	0.0	0.0	2	broker_fill_rate	0.998040541963584
access_only	0.0	0.0	2	broker_holdout_rank	0.9163194183864916
access_only	0.0	0.0	2	broker_net_output_per_requested_position	4.961497810763296
access_only	0.0	0.0	2	broker_selected_rank	0.9430811229118469
access_only	0.0	0.0	2	mean_degree	59.707950000000004
access_only	0.0	0.0	2	net_output_per_requested_position	4.976671932828493
access_only	0.0	0.0	2	outsourcing_rate	0.4380742752891586
access_only	0.0	0.0	2	q_gap	-0.013218878509739485
access_only	0.0	0.0	2	rank_gap	0.20523255159474668
access_only	0.0	0.0	2	self_fill_rate	0.9996770764864253
access_only	0.0	0.0	2	self_net_output_per_requested_position	4.988584704740997
access_only	0.0	0.0	20	access_fraction	0.00844254236955888
access_only	0.0	0.0	20	agent_holdout_rank	0.703650938086304
access_only	0.0	0.0	20	betweenness	0.20456933565967422
access_only	0.0	0.0	20	broker_fill_rate	0.9960865825291565
access_only	0.0	0.0	20	broker_holdout_rank	0.8868222326454033
access_only	0.0	0.0	20	broker_net_output_per_requested_position	5.0924787313609094
access_only	0.0	0.0	20	broker_selected_rank	0.9339732531272545
access_only	0.0	0.0	20	mean_degree	57.61775
access_only	0.0	0.0	20	net_output_per_requested_position	5.087715189660086
access_only	0.0	0.0	20	outsourcing_rate	0.5577764504717663
access_only	0.0	0.0	20	q_gap	0.017323489106616564
access_only	0.0	0.0	20	rank_gap	0.18317129455909945
access_only	0.0	0.0	20	self_fill_rate	0.9996370150935301
access_only	0.0	0.0	20	self_net_output_per_requested_position	5.0815996847730105
access_only	0.0	0.0	3	access_fraction	0.013554627020046636
access_only	0.0	0.0	3	agent_holdout_rank	0.7405200750469044
access_only	0.0	0.0	3	betweenness	0.114267403876906
access_only	0.0	0.0	3	broker_fill_rate	0.9949975821695309
access_only	0.0	0.0	3	broker_holdout_rank	0.9350256097560974
access_only	0.0	0.0	3	broker_net_output_per_requested_position	4.6832809271011575
access_only	0.0	0.0	3	broker_selected_rank	0.9247623101107522
access_only	0.0	0.0	3	mean_degree	60.18300000000001
access_only	0.0	0.0	3	net_output_per_requested_position	4.857717513515455
access_only	0.0	0.0	3	outsourcing_rate	0.35895550537229026
access_only	0.0	0.0	3	q_gap	-0.25547563371991144
access_only	0.0	0.0	3	rank_gap	0.19450553470919316
access_only	0.0	0.0	3	self_fill_rate	0.9997477984192127
access_only	0.0	0.0	3	self_net_output_per_requested_position	4.955576158375967
access_only	0.0	0.0	4	access_fraction	0.009140034887710051
access_only	0.0	0.0	4	agent_holdout_rank	0.7637917448405254
access_only	0.0	0.0	4	betweenness	0.13540894596571254
access_only	0.0	0.0	4	broker_fill_rate	0.9973415730792412
access_only	0.0	0.0	4	broker_holdout_rank	0.9327977485928705
access_only	0.0	0.0	4	broker_net_output_per_requested_position	6.039302240089887
access_only	0.0	0.0	4	broker_selected_rank	0.9608164600483008
access_only	0.0	0.0	4	mean_degree	52.1597
access_only	0.0	0.0	4	net_output_per_requested_position	5.960958922862327
access_only	0.0	0.0	4	outsourcing_rate	0.29460746576611474
access_only	0.0	0.0	4	q_gap	0.09159941928065707
access_only	0.0	0.0	4	rank_gap	0.16900600375234526
access_only	0.0	0.0	4	self_fill_rate	0.9997724487361085
access_only	0.0	0.0	4	self_net_output_per_requested_position	5.928320615052236
access_only	0.0	0.0	5	access_fraction	0.007686911060866461
access_only	0.0	0.0	5	agent_holdout_rank	0.678965947467167
access_only	0.0	0.0	5	betweenness	0.12337551356020893
access_only	0.0	0.0	5	broker_fill_rate	0.9972134667374313
access_only	0.0	0.0	5	broker_holdout_rank	0.8880365853658535
access_only	0.0	0.0	5	broker_net_output_per_requested_position	5.244932073870395
access_only	0.0	0.0	5	broker_selected_rank	0.9678248007180985
access_only	0.0	0.0	5	mean_degree	59.71740000000001
access_only	0.0	0.0	5	net_output_per_requested_position	5.227678360324169
access_only	0.0	0.0	5	outsourcing_rate	0.416031805019227
access_only	0.0	0.0	5	q_gap	0.024808424943449082
access_only	0.0	0.0	5	rank_gap	0.20907063789868668
access_only	0.0	0.0	5	self_fill_rate	0.9992813954259028
access_only	0.0	0.0	5	self_net_output_per_requested_position	5.21544034525823
access_only	0.0	0.0	6	access_fraction	0.008189344326613023
access_only	0.0	0.0	6	agent_holdout_rank	0.6993895872420263
access_only	0.0	0.0	6	betweenness	0.19376538568373264
access_only	0.0	0.0	6	broker_fill_rate	0.9962125605338571
access_only	0.0	0.0	6	broker_holdout_rank	0.8301445590994371
access_only	0.0	0.0	6	broker_net_output_per_requested_position	5.475546789716138
access_only	0.0	0.0	6	broker_selected_rank	0.9620205578437485
access_only	0.0	0.0	6	mean_degree	59.08509999999999
access_only	0.0	0.0	6	net_output_per_requested_position	5.424792236341991
access_only	0.0	0.0	6	outsourcing_rate	0.5397383024828772
access_only	0.0	0.0	6	q_gap	0.1184215623524572
access_only	0.0	0.0	6	rank_gap	0.1307549718574109
access_only	0.0	0.0	6	self_fill_rate	0.999434193133801
access_only	0.0	0.0	6	self_net_output_per_requested_position	5.365324972567235
access_only	0.0	0.0	7	access_fraction	0.009369018624211908
access_only	0.0	0.0	7	agent_holdout_rank	0.685777861163227
access_only	0.0	0.0	7	betweenness	0.14349319077687664
access_only	0.0	0.0	7	broker_fill_rate	0.998870137580931
access_only	0.0	0.0	7	broker_holdout_rank	0.8862356472795497
access_only	0.0	0.0	7	broker_net_output_per_requested_position	4.751089751592377
access_only	0.0	0.0	7	broker_selected_rank	0.9051466184065594
access_only	0.0	0.0	7	mean_degree	60.03029999999999
access_only	0.0	0.0	7	net_output_per_requested_position	4.772624247161062
access_only	0.0	0.0	7	outsourcing_rate	0.46173779102239365
access_only	0.0	0.0	7	q_gap	-0.026019543995134065
